"","codCentro","codArticulo","num_roturas_no_promo","num_servicios_no_promo","num_roturas_promo","num_servicios_promo"
"615",9641,185,14,40,1,4
"616",9641,2429,11,38,2,7
"617",9641,503,10,35,3,10
"618",9641,575,4,40,1,5
"619",9641,686,6,33,2,12
"620",9641,70,6,37,2,8
"621",9645,2429,5,37,2,6
"622",9645,5,6,38,1,6
"623",9645,504,29,37,2,6
"624",9645,518,11,21,1,4
"625",9720,574,4,7,1,1
"626",9726,2,2,7,2,3
"627",9770,483,2,3,2,4
"628",9770,72,1,24,6,7
"629",9776,2,1,29,1,8
"630",9776,504,1,26,2,10
"631",9776,574,6,33,1,4
"632",9792,575,1,19,1,1
"633",9812,574,2,21,1,1
"634",9850,167,1,8,1,2
"635",9854,2429,6,12,1,2
"636",9854,574,3,22,2,2
"637",9854,575,2,22,1,2
"638",9854,72,8,21,2,3
"639",9857,504,3,28,1,7
"640",9878,10,3,15,1,1
"641",9907,2,2,25,1,5
"642",9973,167,3,13,1,3
"643",9973,686,1,14,2,5
"644",9974,167,2,23,1,5
"645",9974,2,2,19,3,8
"646",9974,72,2,15,1,15
